bill_id	bill_type	congress	introduced_at	bill_number	sponsor_SGID
hr3685-115	hr	115	2017-09-06	3685	1768
hr4009-115	hr	115	2017-10-11	4009	608
hr4881-115	hr	115	2018-01-25	4881	1611
hr1187-115	hr	115	2017-02-16	1187	1048
hr267-115	hr	115	2017-01-04	267	693
hr2310-115	hr	115	2017-05-03	2310	1754
hr2666-115	hr	115	2017-05-25	2666	1881
hr5069-115	hr	115	2018-02-16	5069	1606
hr5195-115	hr	115	2018-03-07	5195	989
hr730-115	hr	115	2017-01-30	730	1732
hr329-115	hr	115	2017-01-05	329	1319
hr4879-115	hr	115	2018-01-25	4879	1475
hr4554-115	hr	115	2017-12-05	4554	1574
hr4363-115	hr	115	2017-11-09	4363	1626
hr2951-115	hr	115	2017-06-20	2951	1874
hr1774-115	hr	115	2017-03-29	1774	1191
hr2143-115	hr	115	2017-04-25	2143	1802
hr2460-115	hr	115	2017-05-16	2460	1717
hr5294-115	hr	115	2018-03-15	5294	1757
hr3153-115	hr	115	2017-06-29	3153	1847
hr895-115	hr	115	2017-02-06	895	1720
hr4837-115	hr	115	2018-01-18	4837	1942
hr2652-115	hr	115	2017-05-25	2652	1628
hr1569-115	hr	115	2017-03-16	1569	1613
hr6775-115	hr	115	2018-09-12	6775	1863
hr3995-115	hr	115	2017-10-10	3995	1558
hr4885-115	hr	115	2018-01-25	4885	1800
hr1888-115	hr	115	2017-04-04	1888	1638
hr629-115	hr	115	2017-01-24	629	1544
hr998-115	hr	115	2017-02-09	998	1861
hr6553-115	hr	115	2018-07-26	6553	1670
hr3088-115	hr	115	2017-06-27	3088	1794
hr2321-115	hr	115	2017-05-03	2321	1968
hr321-115	hr	115	2017-01-05	321	1895
hr631-115	hr	115	2017-01-24	631	1763
hr7365-115	hr	115	2018-12-20	7365	1768
hr6250-115	hr	115	2018-06-27	6250	1856
hr4679-115	hr	115	2017-12-18	4679	1688
hr3797-115	hr	115	2017-09-14	3797	1997
hr1537-115	hr	115	2017-03-15	1537	1917
hr4824-115	hr	115	2018-01-18	4824	1900
hr6265-115	hr	115	2018-06-28	6265	1939
hr3721-115	hr	115	2017-09-08	3721	693
hr5819-115	hr	115	2018-05-15	5819	347
hr6808-115	hr	115	2018-09-13	6808	1902
hr3337-115	hr	115	2017-07-20	3337	284
hr4712-115	hr	115	2017-12-21	4712	1499
hr5104-115	hr	115	2018-02-27	5104	1665
hr1502-115	hr	115	2017-03-10	1502	1475
hr6121-115	hr	115	2018-06-14	6121	1712
hr7039-115	hr	115	2018-10-05	7039	1857
hr1239-115	hr	115	2017-02-28	1239	934
